bundle,family,stage,model,bin,n_bin_predictions,sample_index_min,sample_index_max,source_file,state_0_occupancy,state_1_occupancy,mean_confidence,mean_entropy_bits,switch_rate
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,7,1860,7380,83579,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,0.33763440860215055,0.6623655913978495,nan,nan,0.07961269499731038
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,8,1860,8430,100229,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,0.3967741935483871,0.603225806451613,nan,nan,0.09628832705755783
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,9,1860,10800,119969,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,0.3543010752688172,0.6456989247311828,nan,nan,0.09090909090909091
pipeline,x_loop,05_dmm,dmm,0,18600,0,133799,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,0.0,1.0,0.5142942330048931,0.9993938641152923,0.0
pipeline,x_loop,05_dmm,dmm,1,18600,14400,151199,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,0.0,1.0,0.5141641458997163,0.9994054784590586,0.0
pipeline,x_loop,05_dmm,dmm,2,18600,15600,167999,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,0.0,1.0,0.514203234439896,0.9994025943054853,0.0
pipeline,x_loop,05_dmm,dmm,3,18600,17400,184799,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,0.0,1.0,0.5141337623551328,0.9994084986865834,0.0
pipeline,x_loop,05_dmm,dmm,4,18600,2400,185999,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,0.0,1.0,0.5143878620830915,0.9993844486771477,0.0
pipeline,x_loop,05_dmm,dmm,5,18600,3600,51599,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,0.0,1.0,0.5143213139778824,0.9993899573885214,0.0
pipeline,x_loop,05_dmm,dmm,6,18600,6000,68999,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,0.0,1.0,0.5143487979519752,0.9993883304859917,0.0
